Gene.Name	Approved.Name	Hugo.Gene.Family	HPRD.Function	nodeType	Domains	Compartment	Compartment.Overview
PKHD1	polycystic kidney and hepatic disease 1 (autosomal recessive)	undefined	Receptor activity (GO:0004872)	membrane protein	IPT, EF	chromatin; cytoskeleton; microtubules; plasma membrane	cytoskeleton
PKHD1L1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1	undefined	Receptor activity (GO:0004872)	membrane protein	IPT	cytosol	plasma.membrane
PKIA	protein kinase (cAMP-dependent, catalytic) inhibitor alpha	undefined	Protein kinase binding (GO:0019901)	undefined	undefined	undefined	undefined
PKIB	protein kinase (cAMP-dependent, catalytic) inhibitor beta	undefined	Protease inhibitor activity (GO:0030414)	undefined	undefined	undefined	undefined
PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	undefined	Enzyme inhibitor activity (GO:0004857)	undefined	undefined	undefined	undefined
PKLR	pyruvate kinase, liver and RBC	undefined	Catalytic activity (GO:0003824)	undefined	PIPKc	cytosol	plasma.membrane
PKM	pyruvate kinase, muscle	undefined	undefined	undefined	undefined	nucleus; cytosol; plasma membrane	plasma.membrane
PKM2	undefined	undefined	c("Kinase activity (GO:0016301)", "Catalytic activity (GO:0003824)")	undefined	undefined	undefined	undefined
PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	Protein phosphatase 1 regulatory subunits	Protein threonine/tyrosine kinase activity (GO:0004712)	kinase	S_T_Y_Kinase	nucleus; cytosol; endoplasmic reticulum; Golgi	ER.Golgi
PKN1	protein kinase N1	C2 domain containing protein kinases	Protein serine/threonine kinase activity (GO:0004674)	kinase	HR1, C2, S_T_kinase	nucleus; cytosol; plasma membrane; endosome	endolysosome.system
PKN2	protein kinase N2	C2 domain containing protein kinases	Protein serine/threonine kinase activity (GO:0004674)	kinase	HR1, C2, S_T_kinase	nucleus; cytosol; cytoskeleton; filament; microtubules; plasma membrane	cytoskeleton
PKN3	protein kinase N3	Minor histocompatibility antigens|C2 domain containing protein kinases	Protein serine/threonine kinase activity (GO:0004674)	kinase	HR1, S_T_kinase	nucleus; Golgi	ER.Golgi
PKNOX1	PBX/knotted 1 homeobox 1	TALE class homeboxes and pseudogenes	DNA binding (GO:0003677)	undefined	HOX	undefined	undefined
PKNOX2	PBX/knotted 1 homeobox 2	TALE class homeboxes and pseudogenes	Transcription factor activity (GO:0003700)	transcription factor	HOX	undefined	undefined
PKP1	plakophilin 1	Armadillo repeat containing	Cell adhesion molecule activity (GO:0005194)	undefined	ARM	nucleus; cytoskeleton; filament; plasma membrane	cytoskeleton
PKP2	plakophilin 2	Armadillo repeat containing	Molecular function unknown (GO:0005554)	membrane protein	ARM	nucleus; plasma membrane	plasma.membrane
PKP3	plakophilin 3	Armadillo repeat containing	Cell adhesion molecule activity (GO:0005194)	undefined	ARM	nucleus; plasma membrane	plasma.membrane
PKP4	plakophilin 4	Armadillo repeat containing	Cell adhesion molecule activity (GO:0005194)	undefined	ARM	cytoskeleton; microtubules; plasma membrane	cytoskeleton
PL-5283	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLA1A	phospholipase A1 member A	Phospholipases	Phospholipase activity (GO:0004620)	undefined	undefined	undefined	plasma.membrane
PLA2G10	phospholipase A2 group X	Phospholipases	Phospholipase activity (GO:0004620)	undefined	PA2c	undefined	plasma.membrane
PLA2G12A	phospholipase A2 group XIIA	Phospholipases	Lipase activity (GO:0016298)	undefined	undefined	undefined	plasma.membrane
PLA2G12B	phospholipase A2 group XIIB	Phospholipases	Calcium ion binding (GO:0005509)	undefined	undefined	undefined	plasma.membrane
PLA2G15	phospholipase A2 group XV	Phospholipases	Phospholipase activity (GO:0004620)	undefined	undefined	lysosome	endolysosome.system
PLA2G16	phospholipase A2 group XVI	Phospholipases	Molecular function unknown (GO:0005554)	membrane protein	TM	cytosol	undefined
PLA2G1B	phospholipase A2 group IB	Phospholipases	Phospholipase activity (GO:0004620)	undefined	PA2c	undefined	plasma.membrane
PLA2G2A	phospholipase A2 group IIA	Phospholipases	Phospholipase activity (GO:0004620)	undefined	PA2c	nucleus; endoplasmic reticulum	ER.Golgi
PLA2G2C	phospholipase A2 group IIC	Phospholipases	undefined	undefined	undefined	undefined	undefined
PLA2G2D	phospholipase A2 group IID	Phospholipases	Phospholipase activity (GO:0004620)	undefined	PA2c	undefined	plasma.membrane
PLA2G2E	phospholipase A2 group IIE	Phospholipases	Phospholipase activity (GO:0004620)	undefined	PA2c	undefined	plasma.membrane
PLA2G2F	phospholipase A2 group IIF	Phospholipases	Phospholipase activity (GO:0004620)	undefined	PA2c	cytosol	plasma.membrane
PLA2G3	phospholipase A2 group III	Phospholipases	Phospholipase activity (GO:0004620)	undefined	PA2c	cytoskeleton; microtubules; plasma membrane	cytoskeleton
PLA2G4A	phospholipase A2 group IVA	Phospholipases|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	undefined	C2	nucleus; cytosol; endoplasmic reticulum; mitochondria	ER.Golgi
PLA2G4B	phospholipase A2 group IVB	Phospholipases|C2 domain containing phospholipases	undefined	undefined	undefined	cytosol; endosome; mitochondria	endolysosome.system
PLA2G4C	phospholipase A2 group IVC	Phospholipases	Phospholipase activity (GO:0004620)	undefined	undefined	nucleus; cytosol; endoplasmic reticulum	ER.Golgi
PLA2G4D	phospholipase A2 group IVD	Phospholipases|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	undefined	C2	cytosol	undefined
PLA2G4E	phospholipase A2 group IVE	Phospholipases|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	undefined	C2	cytosol	undefined
PLA2G4F	phospholipase A2 group IVF	Phospholipases|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	undefined	C2	cytosol	undefined
PLA2G5	phospholipase A2 group V	Phospholipases	Phospholipase activity (GO:0004620)	undefined	PA2c	undefined	plasma.membrane
PLA2G6	phospholipase A2 group VI	Patatin-like phospholipase domain containing|Phospholipases|Ankyrin repeat domain containing|Parkinson disease associated genes	Phospholipase activity (GO:0004620)	undefined	ANK	cytosol; cytoskeleton; microtubules	cytoskeleton
PLA2G7	phospholipase A2 group VII	Phospholipases	Phospholipase activity (GO:0004620)	undefined	undefined	undefined	plasma.membrane
PLA2R1	phospholipase A2 receptor 1	C-type lectin domain family	Receptor activity (GO:0004872)	membrane protein	LECTIN_C, TM, FN2, RICIN	plasma membrane	plasma.membrane
PLAA	phospholipase A2-activating protein	WD repeat domain containing	Receptor signaling complex scaffold activity (GO:0030159)	undefined	WD40	undefined	plasma.membrane
PLAC1	placenta specific 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLAC1L	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLAC2	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLAC4	placenta specific 4	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLAC8	placenta specific 8	undefined	Cytokine activity (GO:0005125)	undefined	undefined	undefined	undefined
PLAC8L1	PLAC8-like 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLAC9	placenta specific 9	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLAG1	PLAG1 zinc finger	Zinc fingers, C2H2-type	Transcription factor activity (GO:0003700)	transcription factor	ZNFC2	undefined	undefined
PLAGL1	PLAG1 like zinc finger 1	Zinc fingers, C2H2-type	Transcription regulator activity (GO:0030528)	undefined	ZNFC2	nucleus; Golgi	ER.Golgi
PLAGL2	PLAG1 like zinc finger 2	Zinc fingers, C2H2-type	Transcription regulator activity (GO:0030528)	undefined	ZNFC2	undefined	undefined
PLAT	plasminogen activator, tissue type	undefined	Serine-type peptidase activity (GO:0008236)	undefined	KRINGLE, TRYPSIN, FN1, EGF	undefined	plasma.membrane
PLAU	plasminogen activator, urokinase	undefined	Serine-type peptidase activity (GO:0008236)	undefined	TRYPSIN, KRINGLE	plasma membrane	plasma.membrane
PLAUR	plasminogen activator, urokinase receptor	CD molecules	Receptor activity (GO:0004872)	undefined	LU	nucleus; endoplasmic reticulum; plasma membrane	ER.Golgi
PLB1	phospholipase B1	Phospholipases	Phospholipase activity (GO:0004620)	membrane protein	TM	plasma membrane	plasma.membrane
PLBD1	phospholipase B domain containing 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	cytosol	undefined
PLBD2	phospholipase B domain containing 2	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	plasma.membrane
PLCB1	phospholipase C beta 1	Phospholipases|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	undefined	PLCXc, PLCYc, C2	nucleus; cytosol	plasma.membrane
PLCB2	phospholipase C beta 2	Phospholipases|C2 domain containing phospholipases	GTPase activator activity (GO:0005096)	undefined	PLCXc, PLCYc, C2	cytosol	undefined
PLCB3	phospholipase C beta 3	Phospholipases|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	undefined	C2	nucleus; cytosol	nucleus
PLCB4	phospholipase C beta 4	Phospholipases|C2 domain containing phospholipases	c("Phospholipase activity (GO:0004620)", "GTPase activator activity (GO:0005096)")	undefined	PLCXc, PLCYc, C2	cytosol	undefined
PLCD1	phospholipase C delta 1	Phospholipases|EF-hand domain containing|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	undefined	EF, PH, PLCXc, PLCYc, C2	plasma membrane	plasma.membrane
PLCD3	phospholipase C delta 3	Phospholipases|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	undefined	PH, C2	plasma membrane	plasma.membrane
PLCD4	phospholipase C delta 4	Phospholipases|EF-hand domain containing|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	undefined	EF, PH, C2	nucleus; plasma membrane	plasma.membrane
PLCE1	phospholipase C epsilon 1	Phospholipases|C2 domain containing phospholipases	Guanyl-nucleotide exchange factor activity (GO:0005085)	undefined	PLCXc, PLCYc, C2, RA, RasGEF	cytosol; Golgi; plasma membrane	ER.Golgi
PLCG1	phospholipase C gamma 1	Phospholipases|EF-hand domain containing|Pleckstrin homology domain containing|SH2 domain containing|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	SH2-SH3 protein	C2, PH, SH2, SH3, PLCXc, PLCYc	nucleus; cytosol; plasma membrane	plasma.membrane
PLCG2	phospholipase C gamma 2	Phospholipases|SH2 domain containing|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	SH2-SH3 protein	C2, PH, PLCXc, SH2, SH3, PLCYc	cytosol; plasma membrane	plasma.membrane
PLCH1	phospholipase C eta 1	Phospholipases|EF-hand domain containing|C2 domain containing phospholipases	Molecular function unknown (GO:0005554)	undefined	C2, PH, PLCXc, PLCYc	plasma membrane	plasma.membrane
PLCH2	phospholipase C eta 2	Phospholipases|EF-hand domain containing	Phospholipase activity (GO:0004620)	undefined	EF, PLCXc, PH, PLCYc, C2	plasma membrane	plasma.membrane
PLCL1	phospholipase C like 1	Protein phosphatase 1 regulatory subunits|C2 domain containing phospholipases	Molecular function unknown (GO:0005554)	undefined	PH, C2	undefined	undefined
PLCL2	phospholipase C like 2	C2 domain containing phospholipases	Molecular function unknown (GO:0005554)	undefined	PH, PLCYc, C2, PLCXc	undefined	undefined
PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1	Pseudoautosomal region 1	Phospholipase activity (GO:0004620)	undefined	undefined	undefined	undefined
PLCXD2	phosphatidylinositol specific phospholipase C X domain containing 2	undefined	Molecular function unknown (GO:0005554)	undefined	PLCXc	undefined	undefined
PLCXD3	phosphatidylinositol specific phospholipase C X domain containing 3	undefined	Phospholipase activity (GO:0004620)	undefined	PLCXc	undefined	undefined
PLCZ1	phospholipase C zeta 1	Phospholipases|EF-hand domain containing|C2 domain containing phospholipases	Phospholipase activity (GO:0004620)	undefined	C2	cytosol	undefined
PLD1	phospholipase D1	Phospholipases|Pleckstrin homology domain containing	Phosphoric diester hydrolase activity (GO:0008081)	undefined	PH, PX, PLDc	nucleus; endoplasmic reticulum; Golgi; plasma membrane; endosome; lysosome	endolysosome.system
PLD2	phospholipase D2	Phospholipases	Phospholipase activity (GO:0004620)	undefined	PH, PX	nucleus; endoplasmic reticulum; plasma membrane	ER.Golgi
PLD3	phospholipase D family member 3	Phospholipases	Phospholipase activity (GO:0004620)	membrane protein	PLDc, TM	undefined	plasma.membrane
PLD4	phospholipase D family member 4	Phospholipases	Molecular function unknown (GO:0005554)	membrane protein	PLDc, TM	nucleus; endoplasmic reticulum	ER.Golgi
PLD5	phospholipase D family member 5	Phospholipases	Phospholipase activity (GO:0004620)	membrane protein	PLDc	undefined	undefined
PLD6	phospholipase D family member 6	Phospholipases	Hydrolase activity (GO:0016787)	membrane protein	PLDc	mitochondria	mitochondria.metabolism
PLDN	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLEC	plectin	Plakins	undefined	undefined	undefined	cytosol; cytoskeleton; filament; plasma membrane	cytoskeleton
PLEC1	undefined	undefined	Cytoskeletal anchoring activity (GO:0016343)	undefined	SPECTRIN, CH, PLEC	undefined	undefined
PLEK	pleckstrin	Pleckstrin homology domain containing	Calcium ion binding (GO:0005509)	undefined	PH, DSH	cytosol; plasma membrane	plasma.membrane
PLEK2	pleckstrin 2	Pleckstrin homology domain containing	Cytoskeletal protein binding (GO:0008092)	undefined	DSH, PH	cytoskeleton; plasma membrane	cytoskeleton
PLEKHA1	pleckstrin homology domain containing A1	Pleckstrin homology domain containing	Receptor signaling complex scaffold activity (GO:0030159); Signal transducer activity (GO:0004871)	undefined	PH	nucleus; plasma membrane	plasma.membrane
PLEKHA2	pleckstrin homology domain containing A2	Pleckstrin homology domain containing	undefined	undefined	undefined	undefined	undefined
PLEKHA3	pleckstrin homology domain containing A3	Pleckstrin homology domain containing	Receptor signaling complex scaffold activity (GO:0030159)	undefined	PH	Golgi	ER.Golgi
PLEKHA4	pleckstrin homology domain containing A4	Pleckstrin homology domain containing	Receptor signaling complex scaffold activity (GO:0030159)	undefined	PH	undefined	undefined
PLEKHA5	pleckstrin homology domain containing A5	Pleckstrin homology domain containing	Receptor signaling complex scaffold activity (GO:0030159)	undefined	WW, PH	undefined	undefined
PLEKHA6	pleckstrin homology domain containing A6	Pleckstrin homology domain containing	Receptor signaling complex scaffold activity (GO:0030159)	undefined	PH	undefined	undefined
PLEKHA7	pleckstrin homology domain containing A7	Pleckstrin homology domain containing	Molecular function unknown (GO:0005554)	undefined	WW, PH	nucleus; cytoskeleton; microtubules	cytoskeleton
PLEKHA8	pleckstrin homology domain containing A8	Pleckstrin homology domain containing	Receptor signaling complex scaffold activity (GO:0030159)	undefined	PH	Golgi	ER.Golgi
PLEKHA9	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLEKHB1	pleckstrin homology domain containing B1	Pleckstrin homology domain containing	Signal transducer activity (GO:0004871)	membrane protein	PH, TM	undefined	undefined
PLEKHB2	pleckstrin homology domain containing B2	Pleckstrin homology domain containing	Molecular function unknown (GO:0005554)	undefined	PH	undefined	undefined
PLEKHD1	pleckstrin homology and coiled-coil domain containing D1	Pleckstrin homology domain containing	undefined	undefined	undefined	undefined	undefined
PLEKHF1	pleckstrin homology and FYVE domain containing 1	Pleckstrin homology domain containing|Zinc fingers, FYVE-type	Molecular function unknown (GO:0005554)	undefined	FYVE, PH	endosome; lysosome	endolysosome.system
PLEKHF2	pleckstrin homology and FYVE domain containing 2	Pleckstrin homology domain containing|Zinc fingers, FYVE-type	Molecular function unknown (GO:0005554)	undefined	FYVE, PH	endoplasmic reticulum; endosome	endolysosome.system
PLEKHG1	pleckstrin homology and RhoGEF domain containing G1	Rho guanine nucleotide exchange factors|Pleckstrin homology domain containing	Molecular function unknown (GO:0005554)	undefined	RHOGEF, PH	undefined	undefined
PLEKHG2	pleckstrin homology and RhoGEF domain containing G2	Rho guanine nucleotide exchange factors|Pleckstrin homology domain containing	Guanyl-nucleotide exchange factor activity (GO:0005085)	undefined	PH, RHOGEF	cytosol	undefined
PLEKHG3	pleckstrin homology and RhoGEF domain containing G3	Rho guanine nucleotide exchange factors|Pleckstrin homology domain containing	Guanyl-nucleotide exchange factor activity (GO:0005085)	undefined	PH, RHOGEF	undefined	undefined
PLEKHG4	pleckstrin homology and RhoGEF domain containing G4	Rho guanine nucleotide exchange factors|Pleckstrin homology domain containing	Molecular function unknown (GO:0005554)	undefined	RHOGEF, PH	undefined	undefined
PLEKHG4B	pleckstrin homology and RhoGEF domain containing G4B	Pleckstrin homology domain containing	Guanyl-nucleotide exchange factor activity (GO:0005085)	undefined	RHOGEF, PH	undefined	undefined
PLEKHG5	pleckstrin homology and RhoGEF domain containing G5	Pleckstrin homology domain containing	Guanyl-nucleotide exchange factor activity (GO:0005085)	undefined	RHOGEF, PH	cytosol; endosome	endolysosome.system
PLEKHG6	pleckstrin homology and RhoGEF domain containing G6	Pleckstrin homology domain containing	Guanyl-nucleotide exchange factor activity (GO:0005085)	undefined	RHOGEF, PH	cytoskeleton; microtubules	cytoskeleton
PLEKHG7	pleckstrin homology and RhoGEF domain containing G7	Pleckstrin homology domain containing	Guanyl-nucleotide exchange factor activity (GO:0005085)	undefined	PH, RHOGEF	undefined	undefined
PLEKHH1	pleckstrin homology, MyTH4 and FERM domain containing H1	Pleckstrin homology domain containing	Cytoskeletal protein binding (GO:0008092)	undefined	PH, B41	undefined	undefined
PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2	Pleckstrin homology domain containing	Structural constituent of cytoskeleton (GO:0005200)	membrane protein	B41, PH	cytoskeleton; actin; plasma membrane	cytoskeleton
PLEKHH3	pleckstrin homology, MyTH4 and FERM domain containing H3	Pleckstrin homology domain containing	Cytoskeletal protein binding (GO:0008092)	undefined	B41, PH	undefined	plasma.membrane
PLEKHJ1	pleckstrin homology domain containing J1	Pleckstrin homology domain containing	Guanyl-nucleotide exchange factor activity (GO:0005085)	undefined	PH	undefined	undefined
PLEKHM1	pleckstrin homology and RUN domain containing M1	Pleckstrin homology domain containing	Receptor signaling complex scaffold activity (GO:0030159)	undefined	PH, C1	endosome	endolysosome.system
PLEKHM2	pleckstrin homology and RUN domain containing M2	Pleckstrin homology domain containing	Molecular function unknown (GO:0005554)	undefined	PH	undefined	undefined
PLEKHM3	pleckstrin homology domain containing M3	Pleckstrin homology domain containing	Molecular function unknown (GO:0005554)	undefined	PH, C1	undefined	undefined
PLEKHN1	pleckstrin homology domain containing N1	Pleckstrin homology domain containing	Molecular function unknown (GO:0005554)	undefined	PH	undefined	undefined
PLEKHO1	pleckstrin homology domain containing O1	Pleckstrin homology domain containing	Molecular function unknown (GO:0005554)	undefined	PH	nucleus; plasma membrane	plasma.membrane
PLEKHO2	pleckstrin homology domain containing O2	Pleckstrin homology domain containing	Molecular function unknown (GO:0005554)	undefined	PH	undefined	undefined
PLEKHS1	pleckstrin homology domain containing S1	Pleckstrin homology domain containing	undefined	undefined	undefined	undefined	undefined
PLET1	placenta expressed transcript 1	undefined	undefined	undefined	undefined	undefined	undefined
PLG	plasminogen	undefined	Peptidase activity (GO:0008233)	undefined	KRINGLE, PAN, TRYPSIN	plasma membrane; secretion	plasma.membrane
PLGLB1	plasminogen-like B1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	plasma.membrane
PLGLB2	plasminogen-like B2	undefined	Serine-type peptidase activity (GO:0008236)	undefined	PAN	undefined	plasma.membrane
PLGRKT	plasminogen receptor, C-terminal lysine transmembrane protein	undefined	undefined	undefined	undefined	undefined	undefined
PLIN1	perilipin 1	Perilipins	Storage protein (GO:0005187)	undefined	undefined	undefined	undefined
PLIN2	perilipin 2	Perilipins	Lipid transporter activity (GO:0005319)	undefined	undefined	endoplasmic reticulum; plasma membrane	ER.Golgi
PLIN3	perilipin 3	Perilipins	Transporter activity (GO:0005215)	undefined	undefined	Golgi; endosome	endolysosome.system
PLIN4	perilipin 4	Perilipins	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLIN5	perilipin 5	Perilipins	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLK1	polo like kinase 1	undefined	Protein serine/threonine kinase activity (GO:0004674)	kinase	S_T_kinase	nucleus; nucleolus; chromatin; cytosol; cytoskeleton; microtubules	cytoskeleton
PLK1S1	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLK2	polo like kinase 2	undefined	Protein serine/threonine kinase activity (GO:0004674)	kinase	S_T_kinase	chromatin; cytoskeleton; microtubules	cytoskeleton
PLK3	polo like kinase 3	undefined	Protein serine/threonine kinase activity (GO:0004674)	kinase	S_T_kinase	nucleus; nucleolus; chromatin; cytoskeleton; microtubules; Golgi	cytoskeleton
PLK4	polo like kinase 4	undefined	Protein serine/threonine kinase activity (GO:0004674)	kinase	S_T_kinase	nucleus; nucleolus; cytosol; cytoskeleton; microtubules	cytoskeleton
PLK5	polo like kinase 5	undefined	undefined	undefined	undefined	undefined	undefined
PLLP	plasmolipin	undefined	Ion channel activity (GO:0005216)	membrane protein	TM	undefined	plasma.membrane
PLN	phospholamban	undefined	Ion channel activity (GO:0005216)	membrane protein	TM	nucleus; endoplasmic reticulum	ER.Golgi
PLOD1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	undefined	Catalytic activity (GO:0003824)	undefined	P4HC	nucleus; endoplasmic reticulum	ER.Golgi
PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	undefined	Catalytic activity (GO:0003824)	undefined	P4HC	nucleus; endoplasmic reticulum	ER.Golgi
PLOD3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	undefined	Catalytic activity (GO:0003824)	undefined	P4HC	nucleus; endoplasmic reticulum	ER.Golgi
PLP1	proteolipid protein 1	undefined	Structural molecule activity (GO:0005198)	membrane protein	TM, PLP	plasma membrane	plasma.membrane
PLP2	proteolipid protein 2 (colonic epithelium-enriched)	undefined	Ion channel activity (GO:0005216)	membrane protein	TM	nucleus; endoplasmic reticulum; plasma membrane	ER.Golgi
PLPP1	phospholipid phosphatase 1	Phospholipid phosphatases	undefined	undefined	undefined	undefined	undefined
PLPP2	phospholipid phosphatase 2	Phospholipid phosphatases	undefined	undefined	undefined	undefined	undefined
PLPP3	phospholipid phosphatase 3	Phospholipid phosphatases	undefined	undefined	undefined	undefined	undefined
PLPP4	phospholipid phosphatase 4	Phospholipid phosphatases	undefined	undefined	undefined	undefined	undefined
PLPP5	phospholipid phosphatase 5	Phospholipid phosphatases	undefined	undefined	undefined	undefined	undefined
PLPP6	phospholipid phosphatase 6	Phospholipid phosphatases	undefined	undefined	undefined	undefined	undefined
PLPP7	phospholipid phosphatase 7 (inactive)	Phospholipid phosphatases	undefined	undefined	undefined	undefined	undefined
PLPPR1	phospholipid phosphatase related 1	Phospholipid phosphatase related	undefined	undefined	undefined	undefined	undefined
PLPPR2	phospholipid phosphatase related 2	Phospholipid phosphatase related	undefined	undefined	undefined	undefined	undefined
PLPPR3	phospholipid phosphatase related 3	Phospholipid phosphatase related	undefined	undefined	undefined	undefined	undefined
PLPPR4	phospholipid phosphatase related 4	Phospholipid phosphatase related	undefined	undefined	undefined	undefined	undefined
PLPPR5	phospholipid phosphatase related 5	Phospholipid phosphatase related	undefined	undefined	undefined	undefined	undefined
PLRG1	pleiotropic regulator 1	WD repeat domain containing	Transcription regulator activity (GO:0030528)	transcription regulator	WD40	nucleus; splicing	RNA.associated
PLS1	plastin 1	EF-hand domain containing	Structural constituent of cytoskeleton (GO:0005200)	undefined	CH, EF	undefined	plasma.membrane
PLS3	plastin 3	EF-hand domain containing	Structural molecule activity (GO:0005198)	undefined	CH, EF	undefined	undefined
PLSCR1	phospholipid scramblase 1	Phospholipid scramblases	Protein binding (GO:0005515)	membrane protein	TM	nucleus; nucleolus; cytosol; Golgi; plasma membrane	ER.Golgi
PLSCR2	phospholipid scramblase 2	Phospholipid scramblases	Auxiliary transport protein activity (GO:0015457)	undefined	undefined	plasma membrane	plasma.membrane
PLSCR3	phospholipid scramblase 3	Phospholipid scramblases	Transporter activity (GO:0005215)	membrane protein	undefined	plasma membrane	plasma.membrane
PLSCR4	phospholipid scramblase 4	Phospholipid scramblases	Transporter activity (GO:0005215)	membrane protein	undefined	plasma membrane	plasma.membrane
PLSCR5	phospholipid scramblase family member 5	Phospholipid scramblases	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLTP	phospholipid transfer protein	BPI fold containing	Transporter activity (GO:0005215)	undefined	undefined	undefined	plasma.membrane
PLUNC	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PLVAP	plasmalemma vesicle associated protein	undefined	Molecular function unknown (GO:0005554)	membrane protein	TM	plasma membrane; endosome	endolysosome.system
PLXDC1	plexin domain containing 1	undefined	Receptor activity (GO:0004872)	membrane protein	PSI, TM	plasma membrane	plasma.membrane
PLXDC2	plexin domain containing 2	undefined	Receptor activity (GO:0004872)	membrane protein	PSI, TM	undefined	plasma.membrane
PLXNA1	plexin A1	Plexins	Receptor activity (GO:0004872)	membrane protein	IPT, SEMA, PSI	nucleus; plasma membrane	plasma.membrane
PLXNA2	plexin A2	Plexins	Receptor activity (GO:0004872)	membrane protein	IPT, TM, SEMA, PSI	plasma membrane	plasma.membrane
PLXNA3	plexin A3	Plexins	Cytoskeletal protein binding (GO:0008092)	membrane protein	IPT, TM, SEMA, PSI	plasma membrane	plasma.membrane
PLXNA4	plexin A4	Plexins	Molecular function unknown (GO:0005554)	membrane protein	SEMA, IPT, TM, PSI	plasma membrane	plasma.membrane
PLXNA4A	undefined	undefined	Receptor activity (GO:0004872)	undefined	undefined	undefined	undefined
PLXNB1	plexin B1	Plexins	Receptor activity (GO:0004872)	membrane protein	PSI, IPT, SEMA	plasma membrane	plasma.membrane
PLXNB2	plexin B2	Plexins	Receptor activity (GO:0004872)	membrane protein	undefined	plasma membrane	plasma.membrane
PLXNB3	plexin B3	Plexins	Molecular function unknown (GO:0005554)	membrane protein	SEMA, PSI, IPT	plasma membrane	plasma.membrane
PLXNC1	plexin C1	Plexins|CD molecules	Receptor activity (GO:0004872)	membrane protein	TM, PSI, SEMA, IPT	plasma membrane	plasma.membrane
PLXND1	plexin D1	Plexins	Receptor activity (GO:0004872)	membrane protein	IPT, TM, PSI, SEMA	plasma membrane	plasma.membrane
PM20D1	peptidase M20 domain containing 1	undefined	Peptidase activity (GO:0008233)	undefined	TM	undefined	plasma.membrane
PM20D2	peptidase M20 domain containing 2	undefined	Metallopeptidase activity (GO:0008237)	undefined	undefined	nucleus	plasma.membrane
PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; cytosol; mitochondria	mitochondria.metabolism
PMCH	pro-melanin concentrating hormone	Endogenous ligands	Peptide hormone (GO:0005180)	undefined	undefined	undefined	plasma.membrane
PMCHL1	undefined	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
PMCHL2	undefined	undefined	Peptide hormone (GO:0005180)	undefined	undefined	undefined	undefined
PMEL	premelanosome protein	undefined	undefined	undefined	undefined	nucleus; endoplasmic reticulum; Golgi; plasma membrane; endosome	endolysosome.system
PMEPA1	prostate transmembrane protein, androgen induced 1	undefined	Molecular function unknown (GO:0005554)	undefined	TM	Golgi; plasma membrane; endosome	endolysosome.system
PMF1	polyamine-modulated factor 1	undefined	Transcription regulator activity (GO:0030528)	undefined	undefined	chromatin; cytosol	nucleus
PMFBP1	polyamine modulated factor 1 binding protein 1	undefined	Transcription factor activity (GO:0003700)	transcription factor	undefined	undefined	undefined
